movie_name,sns_score,movie_cover_url,movie_video_url
变脸（1996）,9.3,https://pic7.iqiyipic.com/image/20210916/db/99/v_108891926_m_601_m13.webp,https://www.iqiyi.com/v_19rrnv15k0.html
十二怒汉（1957）,9.3,https://pic0.iqiyipic.com/image/20231110/d3/db/v_112851744_m_601_m8.webp,https://www.iqiyi.com/v_19rr7rgwgs.html
白月梵星,,http://pic0.iqiyipic.com/image/20250107/6d/b4/v_179529347_m_601.webp,http://www.iqiyi.com/v_64efe1e6d!.html
夜未央,,http://pic4.iqiyipic.com/image/20241127/bc/c9/v_179035419_m_601_m1.webp,http://www.iqiyi.com/v_b24d120ba!.html
小鞋子,9.3,https://pic4.iqiyipic.com/image/20231110/8e/fc/v_50321983_m_601_m10.webp,https://www.iqiyi.com/v_19rrjraeeo.html
七武士,9.3,https://pic0.iqiyipic.com/image/20230629/11/59/v_50006352_m_601_m15.webp,https://www.iqiyi.com/v_19rrj5yx0s.html
钢琴家,9.3,https://pic7.iqiyipic.com/image/20231109/9f/09/v_62645056_m_601_m14.webp,https://www.iqiyi.com/v_19rrho71bg.html
哈尔的移动城堡 ,9.3,https://pic1.iqiyipic.com/image/20240915/55/90/v_177130786_m_601_m5.webp,https://www.iqiyi.com/v_1vjgd7crrcc.html
罗马假日,9.3,https://pic8.iqiyipic.com/image/20231109/77/89/v_50112529_m_601_m12.webp,https://www.iqiyi.com/v_19rrk3rbyg.html
指环王2：双塔奇兵,9.3,https://pic5.iqiyipic.com/image/20231113/58/88/v_111468993_m_601_m12.webp,https://www.iqiyi.com/v_19rra68cjk.html
小鞋子（普通话）,9.3,https://pic5.iqiyipic.com/image/20231109/32/f7/v_62820475_m_601_m8.webp,https://www.iqiyi.com/v_19rrmycin4.html
海豚湾 电影,9.3,https://pic4.iqiyipic.com/image/20230629/31/e0/v_50272214_m_601_m10.webp,https://www.iqiyi.com/v_19rrk4jq7o.html
城市之光,9.3,https://pic3.iqiyipic.com/image/20230630/ee/54/v_50005637_m_601_m10.webp,https://www.iqiyi.com/v_19rrj5uk9k.html
疯狂动物城（普通话）,9.3,https://pic7.iqiyipic.com/image/20231109/2b/f1/v_110385488_m_601_m18.webp,https://www.iqiyi.com/v_19rrluwf4o.html
花为媒（评剧）,9.3,https://pic2.iqiyipic.com/image/20231110/14/34/v_108938198_m_601_m9.webp,https://www.iqiyi.com/v_19rro2ilvo.html
