《港口经济》,"坚持四项基本原则，以邓小平理论为指导，研究和探索港口经济发展的规律和理论，传播有利于港口经济发展的信息和经验，为社会和经济建设服务。
读者对象：全国各省市港务局、开发区、保税区、研究机构、企事业单位的领导干部、管理人员和大专院校师生。"
《中国港口》,《中国港口》创刊于1986年，由交通运输部主管，中国港口协会主办，面向全国港口交通行业的国内外公开发行的大型综合性月刊，是中国水路运输中文类核心期刊，入编中国期刊全文数据库。办刊三十年来，《中国港口》以其权威性、指导性和普及性的多重组合，为中国港口界所瞩目，并为推动中国港口行业发展做出了积极的贡献。2020年7月6日， 《中国港口》杂志学习强国号重磅上线，也是中国港口行业首家人驻“学习强国”平台的港口行业媒体。
《农村农业农民》,"《农村农业农民》（简称“三农”）杂志是全国唯一一份以“三农”为刊物名称的综合性涉农期刊，面向国内外公开发行，为河南省一级期刊，全国优秀农业期刊，中国核心期刊数据库收录期刊，全国百家优秀图书阅览室指定刊物，农家书屋指定刊物，全国党政阅读TOP100排行榜期刊，是目前全国发行量较大、影响较广的“三农”期刊。
自1986年创刊以来，杂志始终坚持以“发展农业、振兴农村、富裕农民”为宗旨。目前，开设有杂志官方网站、微信公众号、三农APP客户端，以及《今日三农》内参和数字期刊，强力打造三农全媒体，以图片、影像、文字等形式来传递新时代三农新气象。"
《铁道经济研究》,本刊是运输经济学术刊物。关注中国铁路改革与发展的重大问题和现实难点问题，系统报道国内外铁路发展状况，跟踪国内铁路改革进程。主要读者对象：铁路各级管理干部、理论工作者、经济研究专家、工程咨询及技术标准管理人员和路外各相关产业部门、国家综合经济管理部门、研究部门的领导干部、专家学者。
《广西电业》,"《广西电业》是广西电力行业协会主办、全国公开发行的综合类期刊，以发表专业理论研究成果、探讨交流管理:工作经验、解读国家电力政策、弘扬企业文化、展示企业形象等为主要内容,致力提供企业文化、管理创新宣传等服务，为推动广西电力事业发展提供舆论支持。"
《台湾农业探索》,《台湾农业探索》创办于1979年，1985年公开发行，是由福建省农业科学院主管，福建省台湾农业研究中心和福建省农业科学院农业经济与科技信息研究所主办，科学出版社出版的综合性农业科技期刊，致力于传播台湾农村社会发展、农业高新科技及经济发展的动态与成效，探索海峡两岸农业科技与经济合作交流的热点、难点问题，报道海西农业科技成果、农业经济发展管理理论与实践经验，旨在促进海峡两岸农业科技、经济、文化的交流与合作，有效服务海西经济发展，为海峡两岸农业科技与经贸合作搭建交流平台。
《黑龙江粮食》,本刊创刊于1990年，是东北地区唯一国内外公开发行的粮食行业期刊，本刊以“面向社会、贴近实际、服务读者、打造精品”为办刊理念；以“为粮食购销市场化改革服务，为粮食事业发展服务，为农民、农村和农民服务”为办刊宗旨；以广大读者需要不需要，满意不满意为衡量标准，是联系广大农民、粮食生产者、经营者和工作者的桥梁、纽带，是广大读者的知心朋友和忠实伙伴。
《国土资源导刊》,"《国土资源导刊》创刊于1982年，湖南省地质科学研究院主办，本刊是湖南省一级刊物，中国地质文摘核心引文期刊，中国学术期刊综合评价数据库全文收录来源期刊，国内外公开发行。荣获2009年度湖南省科技期刊编辑学会先进单位，1996年地矿部科技成果三等奖。
《国土资源导刊》是湖南省国土资源厅主办的综合性资源开发管理科技刊物。该刊主要刊登湖南省地质矿产、国土资源开发管理、环境保护等方面的科技成果、学术论文、问题讨论、新技术、新方法、新发现，包括基础地质、经济地质、测试技术、国土资源开发管理、环境保护、旅游资源、矿政管理、矿业调研等内容，是广大地学、国土资源和矿政管理工作者的良师益友。"
《中国合作经济》,《中国合作经济》是中国合作经济领域第一份面向国内外公开发行的杂志。
《IT经理世界》,1998年3月，《IT经理世界》诞生。从创刊之日起，她就立志成为中国最好的商业管理杂志。从信息扶推动企业管理进步这个角度切入，《IT经理世界》逐渐进入了各个行业战略管理和运营层面，开始探讨信息产业，制造业，流通业，金融业等各个行业的企业所括外资企业，本土国有企业，民营企业等各种不同类型企业的经营管理问题。《IT经理世界》秉承了“观点前卫，立意严肃，谨慎求证，忠实记不”的一贯风格，致力于对当前中国工商界问题的独立判断及深刻剖析，是一份真正能够在中国企业发展过程中起到舆论引导作用的权威媒体。
